Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-10-26 09:26:09,2024-10-27 04:51:16,UTC-04:00,11,75,40,33.44,95.50,10.6,1849,147,85,2024-10-26 09:26:09,2024-10-26 13:48:36,37,18.2,221,262,109,60,52,41,593,95,85,15
2024-10-25 02:27:45,2024-10-26 09:26:09,UTC-04:00,69,55,63,33.90,95.22,12.6,2932,161,79,2024-10-25 02:27:45,2024-10-25 10:14:58,75,18.0,436,467,171,106,159,31,584,104,93,73
2024-10-24 01:54:03,2024-10-25 02:27:45,UTC-04:00,64,57,60,33.80,96.40,6.1,1956,147,72,2024-10-24 01:54:03,2024-10-24 08:46:27,64,17.6,370,410,101,124,145,40,579,99,90,69
2024-10-23 01:59:43,2024-10-24 01:54:03,UTC-04:00,63,57,58,33.52,96.00,6.1,1917,156,71,2024-10-23 01:59:43,2024-10-23 09:59:36,74,17.6,439,479,224,83,132,40,594,94,91,59
2024-10-22 00:22:30,2024-10-23 01:59:43,UTC-04:00,78,51,66,33.80,94.75,13.0,2432,197,71,2024-10-22 00:22:30,2024-10-22 08:53:56,76,17.5,461,511,189,124,148,50,608,127,90,45
2024-10-21 04:32:59,2024-10-22 00:22:30,UTC-04:00,14,57,53,34.30,96.86,6.8,1623,137,79,2024-10-21 04:32:59,2024-10-21 07:24:34,28,18.3,158,171,85,25,48,13,558,71,92,62
2024-10-20 04:06:29,2024-10-21 04:32:59,UTC-04:00,61,55,55,34.20,94.63,9.7,2218,150,74,2024-10-20 04:06:29,2024-10-20 11:34:57,79,17.6,406,448,162,98,146,42,517,37,90,58
2024-10-19 01:28:11,2024-10-20 04:06:29,UTC-04:00,96,55,75,33.31,96.29,5.7,2093,150,69,2024-10-19 01:28:11,2024-10-19 11:12:12,90,17.5,509,581,219,115,175,72,568,89,87,71
2024-10-18 01:34:05,2024-10-19 01:28:11,UTC-04:00,36,65,49,33.80,95.45,5.1,1846,138,72,2024-10-18 01:34:05,2024-10-18 09:25:37,70,17.9,425,471,136,114,175,46,605,93,90,64
2024-10-17 01:54:32,2024-10-18 01:34:05,UTC-04:00,39,60,52,33.85,97.20,14.8,2435,197,80,2024-10-17 01:54:32,2024-10-17 08:46:56,67,17.9,382,412,174,74,134,30,569,81,92,62
2024-10-16 03:00:31,2024-10-17 01:54:32,UTC-04:00,43,55,53,33.70,95.40,10.0,2085,152,75,2024-10-16 03:00:31,2024-10-16 10:15:02,71,17.6,408,434,224,88,96,26,571,92,94,68
2024-10-15 04:36:05,2024-10-16 03:00:31,UTC-04:00,40,54,52,33.43,95.86,4.4,1709,124,70,2024-10-15 04:36:05,2024-10-15 11:45:19,68,17.4,395,427,149,93,153,32,581,99,92,66
2024-10-14 04:09:44,2024-10-15 04:36:05,UTC-04:00,62,57,63,32.94,96.75,6.9,1988,152,74,2024-10-14 04:09:44,2024-10-14 09:49:34,60,18.2,304,339,131,62,111,35,504,15,89,50
2024-10-13 03:54:01,2024-10-14 04:09:44,UTC-04:00,50,58,57,33.53,94.92,10.5,2223,156,76,2024-10-13 03:54:01,2024-10-13 13:56:17,96,18.1,537,602,290,110,137,65,560,78,89,44
2024-10-12 02:13:04,2024-10-13 03:54:01,UTC-04:00,61,56,62,33.95,93.75,7.3,2089,143,75,2024-10-12 02:13:04,2024-10-12 11:11:53,79,17.3,472,536,256,99,117,64,595,110,88,68
2024-10-11 02:50:31,2024-10-12 02:13:04,UTC-04:00,49,57,59,34.00,93.63,9.1,2059,157,75,2024-10-11 02:50:31,2024-10-11 09:41:58,63,17.4,367,411,107,89,171,44,588,99,89,72
2024-10-10 01:51:47,2024-10-11 02:50:31,UTC-04:00,52,57,62,33.57,96.45,10.2,2282,143,73,2024-10-10 01:51:47,2024-10-10 09:03:54,65,17.8,372,432,133,74,165,60,572,86,86,70
2024-10-09 00:12:26,2024-10-10 01:51:47,UTC-04:00,64,57,65,33.89,95.96,9.3,2245,153,74,2024-10-09 00:12:26,2024-10-09 08:11:40,77,17.9,441,479,206,95,140,38,576,96,92,57
2024-10-08 01:43:58,2024-10-09 00:12:26,UTC-04:00,69,58,70,33.30,95.80,6.0,1772,138,70,2024-10-08 01:43:58,2024-10-08 09:22:32,68,17.7,405,458,200,95,110,53,598,105,88,91
2024-10-07 01:05:27,2024-10-08 01:43:58,UTC-04:00,,,,,,11.3,2044,158,88,,,,,,,,,,,,,,
2024-10-06 01:39:36,2024-10-07 01:05:27,UTC-04:00,52,59,59,34.10,96.38,10.2,2222,160,80,2024-10-06 01:39:36,2024-10-06 09:17:40,72,17.8,416,458,167,105,144,42,581,97,91,87
2024-10-05 01:05:27,2024-10-06 01:39:36,UTC-04:00,76,55,79,33.80,96.40,8.1,2081,153,73,2024-10-05 01:05:27,2024-10-05 09:00:21,74,17.8,442,474,205,81,156,32,594,112,93,83
2024-10-04 02:55:15,2024-10-05 01:05:27,UTC-04:00,51,56,63,34.10,96.11,7.5,1858,141,73,2024-10-04 02:55:15,2024-10-04 09:01:31,60,17.5,339,364,137,79,123,25,564,71,93,
2024-10-03 01:42:37,2024-10-04 02:55:15,UTC-04:00,54,58,67,33.10,98.43,11.4,2412,155,73,2024-10-03 01:42:37,2024-10-03 08:44:39,72,17.7,372,422,152,89,131,50,515,0,88,
2024-10-02 00:00:00,2024-10-03 01:42:37,UTC-04:00,,,,,,3.7,211,106,75,,,,,,,,,,,,,,
